city,station_name,station_id,prov,lat,lon,elev,climate_id,WMO_id,TC_id
Calgary,CALGARY INT'L A,2205,AB,51.11,-114.02,1084.1,3031093,71877,YYC
Calgary,CALGARY INTL A,50430,AB,51.12,-114.01,1099.1,3031092,71877,YYC
Edmonton,EDMONTON INT'L A,1865,AB,53.32,-113.58,723.3,3012205,71123,YEG
Edmonton,EDMONTON INTL A,50149,AB,53.31,-113.58,723.3,3012216,71123,YEG
Halifax,HALIFAX INTL A,50620,NS,44.88,-63.51,145.4,8202251,71395,YHZ
Halifax,HALIFAX STANFIELD INT'L A,6358,NS,44.88,-63.5,145.4,8202250,71395,YHZ
Montreal,MONTREAL INTL A,51157,QC,45.47,-73.74,36,7025251,71627,YUL
Montreal,MONTREAL/PIERRE ELLIOTT TRUDEAU INTL A,5415,QC,45.47,-73.75,36,7025250,71627,YUL
Ottawa,OTTAWA INTL A,49568,ON,45.32,-75.67,114.9,6106001,71628,YOW
Ottawa,OTTAWA MACDONALD-CARTIER INT'L A,4337,ON,45.32,-75.67,114,6106000,71628,YOW
Toronto,TORONTO INTL A,51459,ON,43.68,-79.63,173.4,6158731,71624,YYZ
Toronto,TORONTO LESTER B. PEARSON INT'L A,5097,ON,43.68,-79.63,173.4,6158733,71624,YYZ
Vancouver,VANCOUVER INT'L A,889,BC,49.2,-123.18,4.3,1108447,,YVR
Vancouver,VANCOUVER INTL A,51442,BC,49.19,-123.18,4.3,1108395,71892,YVR
Victoria,VICTORIA INT'L A,118,BC,48.65,-123.43,19.5,1018620,71799,YYJ
Victoria,VICTORIA INTL A,51337,BC,48.65,-123.43,19.5,1018621,71799,YYJ
Yellowknife,YELLOWKNIFE A,1706,NT,62.46,-114.44,205.7,2204100,71936,YZF
Yellowknife,YELLOWKNIFE A,51058,NT,62.46,-114.44,205.7,2204101,71936,YZF
